x	t=0	t=50	t=100	t=150	t=200	t=250	t=300	t=350	t=400	t=438.4
101.5	1000	527.156	497.517	492.303	491.167	483.603	473.238	466.196	464.862	465.788
102.5	1000	514.309	484.455	479.396	478.729	470.682	459.968	452.939	451.737	452.615
103.5	1000	501.982	471.895	466.989	466.826	458.263	447.147	440.122	439.063	439.888
104.5	1000	490.154	459.82	455.062	455.431	446.335	434.763	427.733	426.827	427.595
105.5	1000	478.805	448.213	443.595	444.519	434.883	422.806	415.761	415.018	415.726
106.5	1000	467.917	437.056	432.573	434.069	423.895	411.265	404.194	403.624	404.269
107.5	1000	457.472	426.335	421.979	424.058	413.359	400.131	393.022	392.632	393.214
108.5	1000	447.454	416.035	411.797	414.466	403.263	389.395	382.236	382.034	382.551
109.5	1000	437.847	406.142	402.015	405.276	393.594	379.048	371.826	371.819	372.27
110.5	1000	428.637	396.643	392.617	396.47	384.341	369.081	361.783	361.977	362.363
111.5	1000	419.809	387.525	383.593	388.031	375.492	359.488	352.099	352.499	352.82
112.5	1000	411.35	378.777	374.93	379.946	367.035	350.26	342.765	343.376	343.633
113.5	1000	403.248	370.388	366.617	372.201	358.957	341.389	333.775	334.599	334.794
114.5	1000	395.491	362.346	358.644	364.784	351.248	332.87	325.121	326.161	326.296
115.5	1000	388.068	354.642	351	357.682	343.895	324.694	316.796	318.054	318.13
116.5	1000	380.968	347.265	343.676	350.885	336.887	316.854	308.793	310.27	310.29
117.5	1000	374.18	340.206	336.663	344.382	330.211	309.345	301.105	302.802	302.769
118.5	1000	367.696	333.457	329.953	338.165	323.857	302.16	293.728	295.643	295.56
119.5	1000	361.505	327.008	323.537	332.225	317.814	295.292	286.654	288.786	288.655
120.5	1000	355.6	320.852	317.408	326.552	312.069	288.734	279.879	282.224	282.05
121.5	1000	349.972	314.981	311.558	321.141	306.614	282.482	273.396	275.952	275.738
122.5	1000	344.614	309.387	305.98	315.983	301.437	276.527	267.201	269.964	269.713
123.5	1000	339.517	304.064	300.668	311.071	296.53	270.865	261.288	264.253	263.969
124.5	1000	334.676	299.004	295.616	306.401	291.883	265.488	255.653	258.815	258.501
125.5	1000	330.083	294.202	290.818	301.965	287.487	260.391	250.291	253.643	253.304
126.5	1000	325.732	289.651	286.267	297.757	283.335	255.568	245.196	248.733	248.371
127.5	1000	321.617	285.346	281.959	293.774	279.418	251.013	240.366	244.08	243.699
128.5	1000	317.732	281.28	277.888	290.01	275.729	246.719	235.795	239.68	239.282
129.5	1000	314.073	277.45	274.05	286.46	272.263	242.681	231.48	235.527	235.116
130.5	1000	310.634	273.849	270.44	283.121	269.011	238.894	227.416	231.618	231.196
131.5	1000	307.411	270.473	267.054	279.988	265.97	235.351	223.6	227.949	227.518
132.5	1000	304.4	267.318	263.887	277.057	263.133	232.046	220.029	224.515	224.078
133.5	1000	301.596	264.38	260.937	274.326	260.495	228.976	216.698	221.313	220.873
134.5	1000	298.995	261.655	258.199	271.791	258.053	226.135	213.605	218.341	217.898
135.5	1000	296.594	259.139	255.67	269.448	255.801	223.518	210.747	215.594	215.15
136.5	1000	294.39	256.829	253.347	267.296	253.736	221.12	208.12	213.07	212.626
137.5	1000	292.38	254.723	251.228	265.332	251.855	218.937	205.722	210.766	210.324
138.5	1000	290.561	252.817	249.309	263.553	250.155	216.966	203.551	208.679	208.239
139.5	1000	288.931	251.108	247.589	261.958	248.632	215.203	201.603	206.808	206.37
140.5	1000	287.488	249.595	246.065	260.545	247.284	213.644	199.877	205.149	204.715
141.5	1000	286.229	248.275	244.736	259.312	246.11	212.286	198.372	203.702	203.271
142.5	1000	285.153	247.148	243.6	258.258	245.106	211.128	197.084	202.465	202.037
143.5	1000	284.259	246.21	242.655	257.381	244.273	210.165	196.014	201.436	201.011
144.5	1000	283.545	245.462	241.901	256.681	243.607	209.398	195.159	200.615	200.191
145.5	1000	283.01	244.901	241.336	256.156	243.109	208.824	194.518	199.999	199.578
146.5	1000	282.654	244.528	240.959	255.807	242.778	208.442	194.092	199.589	199.169
147.5	1000	282.476	244.341	240.771	255.632	242.612	208.251	193.879	199.385	198.965
